,,,,,,,,
,,ZHONGSHAN,BUSAN,IQUIQUE,USD 136,SEMANAL,GL KOREA,53 a 55 días
,HONG KONG,HONG KONG,BUSAN,IQUIQUE,USD 116,SEMANAL,GL KOREA,49 a 51 días
,FILIPINAS,CEBU,BUSAN,IQUIQUE,USD 159,SEMANAL,GL KOREA,67 a 69 días
,INDIA,CALCUTTA,BUSAN,IQUIQUE,USD 169,QUINCENAL,GL KOREA,67 a 69 días
,,CHENNAI,BUSAN,IQUIQUE,USD 118,SEMANAL,GL KOREA,72 a 74 días
,,COCHIN,BUSAN,IQUIQUE,USD 174,QUINCENAL,GL KOREA,77 a 79 días
,,ICD BANGALORE,BUSAN,IQUIQUE,USD 158,SEMANAL,GL KOREA,69 a 71 días
,,NEW DELHI,BUSAN,IQUIQUE,USD 163,SEMANAL,GL KOREA,77 a 79 días
,,NHAVA SHEVA,BUSAN,IQUIQUE,USD 118,SEMANAL,GL KOREA,77 a 79 días
,INDONESIA,JAKARTA,BUSAN,IQUIQUE,USD 127,SEMANAL,GL KOREA,65 a 67 días
,,SEMARANG,BUSAN,IQUIQUE,USD 154,SEMANAL,GL KOREA,68 a 70 días
,,SURABAYA,BUSAN,IQUIQUE,USD 154,SEMANAL,GL KOREA,75 a 77 días
,JAPON,KOBE,BUSAN,IQUIQUE,USD 115,SEMANAL,GL KOREA,41 a 43 días
,,NAGOYA,BUSAN,IQUIQUE,USD 115,SEMANAL,GL KOREA,43 a 45 días
,,OSAKA,BUSAN,IQUIQUE,USD 115,SEMANAL,GL KOREA,57 a 59 días
,,TOKYO,BUSAN,IQUIQUE,USD 115,SEMANAL,GL KOREA,52 a 54 días
,,YOKOHAMA,BUSAN,IQUIQUE,USD 115,SEMANAL,GL KOREA,52 a 54 días
,KOREA,BUSAN,DIRECTO,IQUIQUE,USD 65,SEMANAL,GL KOREA,35 a 37 días
,MALASIA,PASIR GUDANG,BUSAN,IQUIQUE,USD 135,SEMANAL,GL KOREA,67 a 69 días
,,PENANG,BUSAN,IQUIQUE,USD 133,QUINCENAL,GL KOREA,66 a 68 días
,,PORT KLANG,BUSAN,IQUIQUE,USD 114,QUINCENAL,GL KOREA,52 a 54 días
,MYANMAR,YANGON,BUSAN,IQUIQUE,USD 315,SEMANAL,GL KOREA,71 a 73 días
,PAKISTAN,KARACHI,BUSAN,IQUIQUE,USD 149,SEMANAL,GL KOREA,71 a 73 días
,SINGAPORE,SINGAPORE,BUSAN,IQUIQUE,USD 124,SEMANAL,GL KOREA,54 a 56 días
,SOUTH AFRICA,CAPE TOWN,BUSAN,IQUIQUE,USD 290,QUINCENAL,GL KOREA,87 a 89 días
,,DURBAN,BUSAN,IQUIQUE,USD 290,SEMANAL,GL KOREA,90 a 92 días
,SRI LANKA,COLOMBO,BUSAN,IQUIQUE,USD 128,SEMANAL,GL KOREA,72 a 74 días
,TAILANDIA,BANGKOK,BUSAN,IQUIQUE,USD 137,SEMANAL,GL KOREA,54 a 56 días
,TAIWAN,KAOSHIUNG,BUSAN,IQUIQUE,USD 127,SEMANAL,GL KOREA,49 a 51 días
,,KEELUNG,BUSAN,IQUIQUE,USD 127,SEMANAL,GL KOREA,49 a 51 días
,U.A.E.,DUBAI,BUSAN,IQUIQUE,USD 164,QUINCENAL,GL KOREA,77 a 79 días
,VIETNAM,HAIPHONG,BUSAN,IQUIQUE,USD 125,SEMANAL,GL KOREA,63 a 65 días
,,HOCHIMINH,BUSAN,IQUIQUE,USD 123,SEMANAL,GL KOREA,52 a 54 días
,,,,,,,,
,NOTAS IMPORTANTES,,,,,,,
,"¬Tarifas válidas para carga general y apilable, no aplica para carga peligrosa, restringida y sobredimensionada.",,,,,,,
,¬Tarifas válidas hasta 15 m³ (inclusive); cargas que excedan este volumen deben ser consultados caso a caso.,,,,,,,
,¬Se considera como mínimo 1 m³.,,,,,,,
,¬Los itinerarios y tiempos de tránsito publicados son estimativos y podrían estar sujetos a variaciones por parte de las compañías navieras.,,,,,,,
,¬El embalaje debe ser apto para el transporte maritimo consolidado. Craft ni su red de agentes se harán responsables por daños generados por un embalajes inadecuado.,,,,,,,
,"¬Para cargas con mayor peso que cubicaje revisar recargos por sobrepeso (Paridad 1 cbm:1 ton), solo los puertos desde y via Hong Kong, Busan y Singapore la paridad es 1cbm:500kg.",,,,,,,
,"¬El peso maximo por bulto es 2500 kgs, sobre este peso debe ser consultado a origen para opciones de manejo.",,,,,,,
,,,,,,,,
,RECARGO SOBREPESO,,,,,,,
,"¬Entre 3 y 6 tons | USD 5,00 W/M",,,,,,,
,"¬Entre 6,1 a 10 tons | EUR 10,00 W/M",,,,,,,
,¬Sobre 10 tons caso a caso,,,,,,,
,,,,,,,,
,RECARGO GRUPAJE,,,,,,,
,¬Recargo por Shipper extra USD 50,,,,,,,
,,,,,,,,
,RECARGO OVERLENGTH ,,,,,,,
,"¬Medidas máximas permitidas por bulto Largo 2,5 x Alto 2,15 x Ancho 2,20 mts. Sobre estas dimensiones se debe verificar caso a caso.",,,,,,,
,,,,,,,,
,RECARGOS IMO,,,,,,,
,¬No manejamos carga IMO con destino Iquique,,,,,,,
,,,,,,,,
,RECARGO NO APILABLES (NON STACKABLE),,,,,,,
,"¬TODAS LAS RUTAS, Para cargas No apilables (Non stackable), se debe notificar y consultar costos caso a caso pues varían según origen.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"¬Medidas máximas permitidas por bulto Largo 2,5 x Alto 2,20 x Ancho 2,25 mts. Sobre estas dimensiones se debe verificar caso a caso.",,,,,,,
