,,,,,,,,,,
,TAIWAN,KAOSHIUNG,DIRECTO,VALPARAISO,USD 1,USD 1,USD 1,SEMANAL,PACIFIC STAR EX,48 a 50 días
,,KEELUNG,DIRECTO,VALPARAISO,USD 1,USD 1,USD 1,SEMANAL,PACIFIC STAR EX,45 a 47 días
,U.A.E.,DUBAI,SINGAPORE,VALPARAISO,USD 64,USD 64,USD 64,QUINCENAL,GL SINGAPORE,75 a 77 días
,,JEBEL ALI,BUSAN,VALPARAISO,USD 156,USD 156,USD 156,SEMANAL,GL KOREA,70 a 72 días
,VIETNAM,HAIPHONG,BUSAN,VALPARAISO,USD 11,USD 11,USD 11,SEMANAL,GL KOREA,61 a 63 días
,,DANANG,SINGAPORE,VALPARAISO,USD 41,USD 41,USD 41,SEMANAL,GL SINGAPORE,75 a 77 días
,,HOCHIMINH,BUSAN,VALPARAISO,USD 11,USD 11,USD 11,SEMANAL,GL KOREA,64 a 66 días
,,,,,,,,,,
,NOTAS IMPORTANTES,,,,,,,,,
,** Origen Japón tarifas validas hasta 10 cbm y 3.000 kg (inclusive); cargas que excedan este volumen deben ser consultados caso a caso. ,,,,,,,,,
,"¬Tarifas válidas para carga general y apilable, no aplica para carga peligrosa, restringida y sobredimensionada.",,,,,,,,,
,¬Tarifas válidas hasta 15 m³ (inclusive); cargas que excedan este volumen deben ser consultados caso a caso.,,,,,,,,,
,¬Se considera como mínimo 1 m³.,,,,,,,,,
,¬Los itinerarios y tiempos de tránsito publicados son estimativos y podrían estar sujetos a variaciones por parte de las compañías navieras.,,,,,,,,,
,¬El puerto de descarga (POD) puede cambiar dependiendo del servicio naviero utilizado.,,,,,,,,,
,¬El embalaje debe ser apto para el transporte maritimo consolidado. Craft ni su red de agentes se harán responsables por daños generados por un embalajes inadecuado.,,,,,,,,,
,"¬Para cargas con mayor peso que cubicaje revisar recargos por sobrepeso (Paridad 1 cbm:1 ton), solo los puertos desde y via Hong Kong, Busan y Singapore la paridad es 1cbm:500kg.",,,,,,,,,
,"¬El peso maximo por bulto es 2500 kgs, sobre este peso debe ser consultado a origen para opciones de manejo.",,,,,,,,,
,,,,,,,,,,
,RECARGO GRUPAJE,,,,,,,,,
,¬Recargo por Shipper extra USD 50,,,,,,,,,
,,,,,,,,,,
,RECARGO SOBREPESO,,,,,,,,,
,"¬Entre 3 y 6 tons | USD 5,00 W/M",,,,,,,,,
,"¬Entre 6,1 a 10 tons | USD 10,00 W/M",,,,,,,,,
,¬Sobre 10 tons caso a caso,,,,,,,,,
,,,,,,,,,,
,RECARGO OVERLENGTH ,,,,,,,,,
,"¬Medidas máximas permitidas por bulto Largo 2,5 x Alto 2,15 x Ancho 2,20 mts. Sobre estas dimensiones se debe verificar caso a caso.",,,,,,,,,
,,,,,,,,,,
,RECARGOS IMO,,,,,,,,,
,¬Solo opciones de manejo IMO desde y via Hong Kong (restringidos) y Singapore. Se debe chequear caso a caso. ,,,,,,,,,
,¬Rutas en transbordo sujetas a recargos IMO en puerto de origen y transbordo. Se debe chequear caso a caso.,,,,,,,,,
,¬Todas las cargas peligrosas estan sujetas a aprobacion por parte de las compañías navieras. Se debe siempre adjuntar copia de MSDS.,,,,,,,,,
,"¬Las cargas IMO que sean canceladas por el cliente y cuya aceptación de compañía naviera y booking estén confirmadas, estan sujetas a aplicación de recargo IMO según ruta.",,,,,,,,,
,,,,,,,,,,
,RECARGO NO APILABLES (NON STACKABLE),,,,,,,,,
,"¬TODAS LAS RUTAS, Para cargas No apilables (Non stackable), se debe notificar y consultar costos caso a caso pues varían según origen.",,,,,,,,,
